train/n_updates,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean
41299,745,276,55,0.11,-1.6498199701309204,0.5889869928359985,0.0003,0.0026454126928001642,41400,150.0,0.0012272936291992664,-11.893274219999999
41899,756,280,55,0.12,-1.3399226665496826,-0.6501625776290894,0.0003,0.002357389312237501,42000,150.0,0.001199342543259263,-11.63314037
42499,767,284,55,0.12,-1.1735446453094482,-2.0009982585906982,0.0003,0.002103768289089203,42600,150.0,0.0012136976001784205,-11.37409072
43099,779,288,55,0.14,-0.826411247253418,-2.137208938598633,0.0003,0.0022364493925124407,43200,150.0,0.0011935178190469742,-11.17717208
43699,790,292,55,0.16,-0.8760507106781006,1.1093820333480835,0.0003,0.0020789962727576494,43800,150.0,0.001180291990749538,-11.003272489999999
44299,801,296,55,0.17,-0.5294368863105774,-1.6817817687988281,0.0003,0.0024180260952562094,44400,150.0,0.0012293981853872538,-11.02361099
44899,812,300,55,0.17,-0.1266285479068756,1.5294702053070068,0.0003,0.003173352684825659,45000,150.0,0.001244387705810368,-10.88931721
45499,823,304,55,0.18,-0.1049371287226677,1.3596525192260742,0.0003,0.0019141323864459991,45600,150.0,0.0012461957521736622,-10.99964741
46099,834,308,55,0.18,-0.21211645007133484,0.9258006811141968,0.0003,0.002238443586975336,46200,150.0,0.001197728095576167,-10.934117689999999
46699,845,312,55,0.19,0.3619248867034912,-0.7525263428688049,0.0003,0.002683578059077263,46800,150.0,0.0011734148720279336,-11.033176969999998
47299,856,316,55,0.22,0.6620157957077026,3.809924364089966,0.0003,0.002623396459966898,47400,150.0,0.0011890495661646128,-10.830371360000004
47899,867,320,55,0.23,0.6003686785697937,0.9196224808692932,0.0003,0.0030362107791006565,48000,150.0,0.0012078469153493643,-10.826982159999998
48499,878,324,55,0.24,0.8225078582763672,-3.1647019386291504,0.0003,0.0020921537652611732,48600,150.0,0.0012319015804678202,-10.791382730000002
49099,889,328,55,0.26,1.0124385356903076,2.8995866775512695,0.0003,0.002108984859660268,49200,150.0,0.0012323703849688172,-10.756529109999997
49699,900,332,55,0.27,1.122833251953125,-1.7518638372421265,0.0003,0.0021793730556964874,49800,150.0,0.0012753427727147937,-10.645088509999999
50299,912,336,55,0.28,1.298117756843567,1.5360145568847656,0.0003,0.0019277860410511494,50400,150.0,0.001257397816516459,-10.392176670000001
50899,923,340,55,0.28,1.2669320106506348,-0.790250301361084,0.0003,0.0018299436196684837,51000,150.0,0.001235283212736249,-10.205109289999998
51499,934,344,55,0.31,1.373187780380249,-3.2428715229034424,0.0003,0.002064963337033987,51600,150.0,0.0012552824337035418,-10.18682681
