train/n_updates,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/critic_loss,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean
102499,1969,684,52,0.37,4.610055923461914,0.26664021611213684,0.0003,0.0017795002786442637,102600,150.0,0.0008978986879810691,-8.187314129999999
103099,1982,688,52,0.38,4.37192964553833,0.19536638259887695,0.0003,0.0014520445838570595,103200,150.0,0.000886349705979228,-8.205835259999999
103699,1994,692,52,0.38,4.620569705963135,2.832566738128662,0.0003,0.0022596835624426603,103800,150.0,0.000894296623300761,-8.14879205
104299,2007,696,52,0.36,4.347421646118164,0.2478943169116974,0.0003,0.0014265956124290824,104400,150.0,0.0008899244130589068,-8.198714579999999
104899,2020,700,51,0.35,4.615776062011719,4.450538635253906,0.0003,0.002333677839487791,105000,150.0,0.0008922482375055552,-8.0871944
105499,2033,704,51,0.35,4.247064113616943,-2.2106375694274902,0.0003,0.0014791511930525303,105600,150.0,0.0008715339936316013,-7.918473860000001
106099,2045,708,51,0.33,4.407108306884766,5.084403038024902,0.0003,0.0020449894946068525,106200,150.0,0.0008851649472489953,-7.99330996
106699,2058,712,51,0.34,4.30570125579834,-1.2799794673919678,0.0003,0.0014913318445906043,106800,150.0,0.0008906644070520997,-7.930219040000002
107299,2070,716,51,0.37,4.347083568572998,-3.141090154647827,0.0003,0.001220228848978877,107400,150.0,0.0008746606181375682,-7.84941125
107899,2084,720,51,0.36,4.551253318786621,2.4348106384277344,0.0003,0.001913629937916994,108000,150.0,0.0008701508049853146,-7.69431922
108499,2097,724,51,0.35,4.196108818054199,-2.3143534660339355,0.0003,0.001244144979864359,108600,150.0,0.0008774736779741943,-7.731451290000001
109099,2109,728,51,0.34,4.321364879608154,-4.167579174041748,0.0003,0.002634899690747261,109200,150.0,0.000874089018907398,-7.69606363
109699,2122,732,51,0.36,4.4389424324035645,4.87143611907959,0.0003,0.0015418538823723793,109800,150.0,0.0008937112870626152,-7.68081884
110299,2135,736,51,0.37,4.352025032043457,-0.950920820236206,0.0003,0.0013183096889406443,110400,150.0,0.0009017155971378088,-7.6246142400000005
110899,2148,740,51,0.37,4.2326202392578125,0.31647491455078125,0.0003,0.0013155452907085419,111000,150.0,0.000909475376829505,-7.512787090000001
