time/time_elapsed,train/learning_rate,rollout/success_rate,train/n_updates,train/ent_coef,time/total_timesteps,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,time/episodes
888,0.0003,0.02,446399,0.011251421645283699,446500,52,15.437950134277344,-75.21314666,150.0,0.1101398766040802,-2.8376283645629883,2976
899,0.0003,0.02,446999,0.011284427717328072,447100,52,14.444961547851562,-74.22317856000001,150.0,0.12999942898750305,-2.538477659225464,2980
911,0.0003,0.02,447599,0.011314967647194862,447700,52,15.954790115356445,-72.04103564,150.0,0.13250577449798584,-0.45864570140838623,2984
923,0.0003,0.03,448199,0.011335153132677078,448300,52,15.62532901763916,-70.15616723000001,150.0,0.22233650088310242,-0.18633997440338135,2988
934,0.0003,0.03,448799,0.011546765454113483,448900,52,17.22532844543457,-73.48084023,150.0,0.24304774403572083,4.11787223815918,2992
945,0.0003,0.03,449399,0.011543797329068184,449500,52,15.784245491027832,-72.39548167,150.0,0.30012577772140503,1.0055158138275146,2996
957,0.0003,0.03,449999,0.011624632403254509,450100,52,16.260923385620117,-75.91901752,150.0,0.1858782321214676,0.6983201503753662,3000
968,0.0003,0.03,450599,0.011649713851511478,450700,52,15.596498489379883,-76.30147081,150.0,0.2507176995277405,0.10089367628097534,3004
979,0.0003,0.03,451199,0.011602298356592655,451300,52,15.222757339477539,-76.7218752,150.0,0.22053322196006775,0.6321032047271729,3008
991,0.0003,0.05,451799,0.01149242278188467,451900,52,16.829011917114258,-74.63254198,150.0,0.1376757174730301,1.6208710670471191,3012
1003,0.0003,0.05,452399,0.011405456811189651,452500,52,16.717023849487305,-73.01483823000001,150.0,0.1596975028514862,0.6490259170532227,3016
1014,0.0003,0.04,452999,0.011478802189230919,453100,52,14.688026428222656,-73.5224562,150.0,0.13571614027023315,-0.9696860909461975,3020
1026,0.0003,0.04,453599,0.011613329872488976,453700,52,16.097375869750977,-71.72860487999999,150.0,0.15760359168052673,-0.3171367943286896,3024
1038,0.0003,0.04,454199,0.011252881027758121,454300,52,14.974810600280762,-70.35413811000001,150.0,0.15932601690292358,-1.8760029077529907,3028
1049,0.0003,0.04,454799,0.010974971577525139,454900,52,15.57540225982666,-72.14525713,150.0,0.18476414680480957,-2.302628993988037,3032
1061,0.0003,0.04,455399,0.010935052298009396,455500,52,15.582378387451172,-73.36739496,150.0,0.11782395094633102,2.037917137145996,3036
1073,0.0003,0.04,455999,0.01088687963783741,456100,52,14.257323265075684,-76.61217965,150.0,0.11482550203800201,-3.6768641471862793,3040
1085,0.0003,0.04,456599,0.011145521886646748,456700,52,13.788122177124023,-71.46203736000001,150.0,0.10589544475078583,-3.715376138687134,3044
1096,0.0003,0.03,457199,0.010807093232870102,457300,52,15.454560279846191,-73.14872394999999,150.0,0.15053002536296844,-0.6792371273040771,3048
1107,0.0003,0.03,457799,0.010642390698194504,457900,52,15.529842376708984,-71.98455428,150.0,0.14213290810585022,-1.6601760387420654,3052
1119,0.0003,0.03,458399,0.010482273064553738,458500,52,15.782869338989258,-73.60141841,150.0,0.21309340000152588,-0.5581228733062744,3056
1131,0.0003,0.03,458999,0.010381128638982773,459100,52,15.701932907104492,-74.61025176000001,150.0,0.21780677139759064,3.1302597522735596,3060
1144,0.0003,0.04,459599,0.010292530059814453,459700,52,15.86191177368164,-76.72768245,150.0,0.4280024766921997,-0.3439145088195801,3064
1156,0.0003,0.05,460199,0.010372083634138107,460300,52,16.519363403320312,-74.96215446000001,150.0,0.13186554610729218,1.7803653478622437,3068
1168,0.0003,0.05,460799,0.010070215910673141,460900,52,16.526765823364258,-73.16494601000001,150.0,0.13500818610191345,-0.6986386775970459,3072
1181,0.0003,0.06,461399,0.009931645356118679,461500,52,15.201408386230469,-73.53596298000001,150.0,0.19230788946151733,-0.9234175086021423,3076
1194,0.0003,0.06,461999,0.009815414436161518,462100,52,16.413423538208008,-79.75330702,150.0,0.1738508641719818,0.36334657669067383,3080
1206,0.0003,0.07,462599,0.010078233666718006,462700,51,15.496546745300293,-79.80045743000001,150.0,0.15755319595336914,-3.04512357711792,3084
1220,0.0003,0.06,463199,0.010173321701586246,463300,51,15.377278327941895,-79.42461198,150.0,0.15222549438476562,-0.0646478533744812,3088
1232,0.0003,0.06,463799,0.01016333419829607,463900,51,17.04604721069336,-76.77650589,150.0,0.1466112732887268,2.956284999847412,3092
