time/fps,train/ent_coef_loss,rollout/success_rate,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/episodes,train/ent_coef,time/total_timesteps,time/time_elapsed
56,-0.5749826431274414,0.38,-15.04544915,0.0003,248349,4.317503452301025,0.0034039041493088007,150.0,1656,0.00229197577573359,248450,861
56,-2.6557722091674805,0.37,-14.946586020000002,0.0003,248949,4.243805885314941,0.003334454959258437,150.0,1660,0.002265023998916149,249050,871
56,-0.02226322889328003,0.37,-14.672588999999999,0.0003,249549,4.23477029800415,0.004823370836675167,150.0,1664,0.0022839659359306097,249650,882
56,1.3055166006088257,0.36,-14.748064569999999,0.0003,250149,4.172526836395264,0.0036990970838814974,150.0,1668,0.0023556556552648544,250250,892
56,-0.16910696029663086,0.38,-14.47235415,0.0003,250749,4.202097415924072,0.0027896612882614136,150.0,1672,0.002342840423807502,250850,903
56,3.452023506164551,0.37,-14.543528460000003,0.0003,251349,4.470617771148682,0.00891808606684208,150.0,1676,0.0023533415514975786,251450,914
56,-2.2754430770874023,0.36,-14.318970840000002,0.0003,251949,4.180324554443359,0.0023206169717013836,150.0,1680,0.0023469796869903803,252050,925
56,3.1669793128967285,0.38,-14.22222812,0.0003,252549,4.6203694343566895,0.005324420519173145,150.0,1684,0.0023101922124624252,252650,935
56,2.2883105278015137,0.38,-13.91406569,0.0003,253149,4.2768354415893555,0.0021635289303958416,150.0,1688,0.0022441698238253593,253250,946
56,-2.739262819290161,0.39,-13.77907396,0.0003,253749,4.238650321960449,0.0034917830489575863,150.0,1692,0.002269201213493943,253850,957
56,-0.059494614601135254,0.4,-13.34069195,0.0003,254349,4.407252311706543,0.0021693159360438585,150.0,1696,0.0022598521318286657,254450,968
56,-0.4391237497329712,0.4,-13.337607049999999,0.0003,254949,4.411078453063965,0.003610862884670496,150.0,1700,0.0021850401535630226,255050,980
56,1.0705246925354004,0.42,-13.178014589999998,0.0003,255549,4.361618995666504,0.002741351258009672,150.0,1704,0.002203959273174405,255650,992
55,-0.07709503173828125,0.43,-13.29363049,0.0003,256149,4.285174369812012,0.0023963346611708403,150.0,1708,0.002142099430784583,256250,1005
55,-1.6172153949737549,0.43,-15.937542560000002,0.0003,256749,4.205591201782227,0.0026527540758252144,150.0,1712,0.0020545676816254854,256850,1017
55,-6.405341625213623,0.45,-14.092024560000004,0.0003,257349,4.010645866394043,0.002608013805001974,150.0,1716,0.0020488298032432795,257450,1029
55,1.1899621486663818,0.45,-14.00802357,0.0003,257949,4.538891315460205,0.005621108692139387,150.0,1720,0.002063663676381111,258050,1041
55,5.174476623535156,0.47,-13.95653532,0.0003,258549,4.360881805419922,0.0037432450335472822,150.0,1724,0.002260578563436866,258650,1053
55,0.5821563601493835,0.46,-13.9762773,0.0003,259149,4.238912582397461,0.0037318828981369734,150.0,1728,0.002488276921212673,259250,1066
55,-3.3507096767425537,0.46,-13.870201730000003,0.0003,259749,4.1678667068481445,0.002720627933740616,150.0,1732,0.002675954718142748,259850,1078
55,3.9331719875335693,0.46,-13.87247533,0.0003,260349,4.314477920532227,0.014584452845156193,150.0,1736,0.002727111103013158,260450,1090
55,-0.615275502204895,0.46,-13.882747819999999,0.0003,260949,4.409140110015869,0.005721105262637138,150.0,1740,0.0027564524207264185,261050,1102
55,-1.4758737087249756,0.43,-14.047344299999997,0.0003,261549,4.093918800354004,0.03586890175938606,150.0,1744,0.0026712517719715834,261650,1114
55,0.2240304946899414,0.42,-13.655244070000002,0.0003,262149,4.180237293243408,0.006377069745212793,150.0,1748,0.002592715434730053,262250,1126
55,0.046767979860305786,0.41,-13.82105542,0.0003,262749,4.277730941772461,0.0030527175404131413,150.0,1752,0.0025900413747876883,262850,1139
55,-2.2188873291015625,0.4,-13.91193264,0.0003,263349,4.272714614868164,0.0024760705418884754,150.0,1756,0.0026290365494787693,263450,1151
55,1.1250746250152588,0.41,-13.913399150000002,0.0003,263949,4.388889312744141,0.009944870136678219,150.0,1760,0.00266736070625484,264050,1163
54,-0.3461136221885681,0.4,-14.52430563,0.0003,264549,4.236469745635986,0.0035593602806329727,150.0,1764,0.002694934606552124,264650,1175
54,2.9710211753845215,0.41,-14.482765350000001,0.0003,265149,4.3246612548828125,0.01400801446288824,150.0,1768,0.002686629304662347,265250,1188
54,3.8916237354278564,0.42,-14.515346489999999,0.0003,265749,4.340448379516602,0.0066835032775998116,150.0,1772,0.0026236854027956724,265850,1200
54,1.4912775754928589,0.43,-14.440228170000001,0.0003,266349,4.2764177322387695,0.0036322048399597406,150.0,1776,0.002546474803239107,266450,1213
54,0.8686370849609375,0.44,-14.67296287,0.0003,266949,4.323359966278076,0.0034920196048915386,150.0,1780,0.002499897265806794,267050,1226
54,-0.36143338680267334,0.42,-14.670584120000003,0.0003,267549,4.180753707885742,0.005227839574217796,150.0,1784,0.0025104726664721966,267650,1238
54,-1.5014777183532715,0.42,-14.72736903,0.0003,268149,4.407314300537109,0.003769158385694027,150.0,1788,0.0024514852557331324,268250,1251
54,2.43935227394104,0.41,-17.87969403,0.0003,268749,4.727354049682617,0.009662258438766003,150.0,1792,0.0024885463062673807,268850,1264
54,0.2298487424850464,0.4,-18.034970180000002,0.0003,269349,4.388239860534668,0.004911129828542471,150.0,1796,0.002491143997758627,269450,1276
54,-0.3499428331851959,0.42,-18.044557339999997,0.0003,269949,4.342731475830078,0.01602429337799549,150.0,1800,0.0024585924111306667,270050,1289
54,-0.5903365612030029,0.4,-18.250154939999998,0.0003,270549,4.136291027069092,0.0034917821176350117,150.0,1804,0.002358499215915799,270650,1301
54,3.290271759033203,0.39,-18.430978219999997,0.0003,271149,4.33372163772583,0.003218885511159897,150.0,1808,0.00254638004116714,271250,1314
54,-0.07141900062561035,0.4,-15.78850037,0.0003,271749,4.38758659362793,0.005015195347368717,150.0,1812,0.002760848728939891,271850,1326
54,-1.9031676054000854,0.39,-16.23329463,0.0003,272349,4.2438859939575195,0.0050369673408567905,150.0,1816,0.0027906461618840694,272450,1339
54,0.5575822591781616,0.37,-16.52919332,0.0003,272949,4.4912428855896,0.005611066706478596,150.0,1820,0.002825332572683692,273050,1352
53,-2.0893454551696777,0.35,-17.04935652,0.0003,273549,4.344304084777832,0.009620199911296368,150.0,1824,0.002715312410145998,273650,1365
53,3.604292869567871,0.38,-16.934959470000003,0.0003,274149,4.46205472946167,0.005068914964795113,150.0,1828,0.0026335862930864096,274250,1378
53,2.7080349922180176,0.39,-16.973363910000003,0.0003,274749,4.529147148132324,0.004067879170179367,150.0,1832,0.002616120968014002,274850,1393
53,-0.3354061245918274,0.4,-16.994515100000005,0.0003,275349,4.393397808074951,0.006933967117220163,150.0,1836,0.0026094182394444942,275450,1406
53,-0.6025277376174927,0.4,-16.97387013,0.0003,275949,4.497646331787109,0.005243733059614897,150.0,1840,0.0026059639640152454,276050,1419
53,-0.35929736495018005,0.4,-16.93653441,0.0003,276549,4.3084492683410645,0.004925750661641359,150.0,1844,0.002483139978721738,276650,1431
53,1.8336091041564941,0.4,-19.96702872,0.0003,277149,4.66654634475708,0.012012981809675694,150.0,1848,0.0024333810433745384,277250,1443
53,3.5666322708129883,0.41,-21.834936810000002,0.0003,277749,4.696798324584961,0.012694232165813446,150.0,1852,0.002277446212247014,277850,1456
53,-3.407982110977173,0.42,-21.932659780000005,0.0003,278349,4.426092624664307,0.007961362600326538,150.0,1856,0.002360325073823333,278450,1469
53,2.0329811573028564,0.43,-21.8853739,0.0003,278949,4.779262065887451,0.0066705793142318726,150.0,1860,0.0022636656649410725,279050,1481
53,2.3509480953216553,0.44,-22.932828559999997,0.0003,279549,4.6892266273498535,0.009107125923037529,150.0,1864,0.0023276773281395435,279650,1494
53,2.1179981231689453,0.43,-23.096053450000003,0.0003,280149,4.62271785736084,0.004626001231372356,150.0,1868,0.0023093693889677525,280250,1506
53,-0.28455114364624023,0.41,-23.752017920000004,0.0003,280749,4.383754253387451,0.010624046437442303,150.0,1872,0.0023413528688251972,280850,1519
53,-1.1800904273986816,0.39,-23.818571000000002,0.0003,281349,4.307840824127197,0.08040256798267365,150.0,1876,0.0024459518026560545,281450,1531
53,1.039528250694275,0.39,-25.181799700000003,0.0003,281949,4.651017665863037,0.013019136153161526,150.0,1880,0.002478798385709524,282050,1544
