rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/std,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range
-10.507307549999998,112640,150.0,225,55,500,0.0003,0.6979355216026306,540,-7.429717878997326,-0.015114451078989077,0.8778939098119736,-0.033662568777799606,0.2541015625,0.020670775,0.01413439480238594,0.2
-10.250956539999999,114688,150.0,229,56,500,0.0003,0.6882529854774475,550,-7.340963533520698,-0.01149882990430342,0.8933075219392776,-0.033193714916706085,0.2271484375,0.017471703,0.012731144249846693,0.2
-10.04536925,116736,150.0,233,57,500,0.0003,0.6777027249336243,560,-7.236968158185482,-0.015250090893823653,0.7710473835468292,0.0008960068225860596,0.25947265625,0.022263922,0.011878845069441013,0.2
-9.801195139999999,118784,150.0,237,58,500,0.0003,0.665521502494812,570,-7.120481730997563,-0.014149370101222303,0.8510313779115677,-0.02248825877904892,0.23369140625,0.020968858,0.00890971589833498,0.2
-9.53190472,120832,150.0,241,59,500,0.0003,0.6575918197631836,580,-7.0156817644834515,-0.009527316867024637,0.8146427124738693,-0.006112855393439531,0.226220703125,0.019193236,0.008996185015712399,0.2
-9.27376247,122880,150.0,245,60,501,0.0003,0.6450594663619995,590,-6.905055467784405,-0.006934004391951021,0.8294111043214798,-0.010000445879995823,0.235595703125,0.01478887,0.00809477505099494,0.2
-9.06429117,124928,150.0,249,61,501,0.0003,0.6368129849433899,600,-6.7920070618391035,-0.009908309932507109,0.8763501718640327,0.01518377847969532,0.262158203125,0.024773322,0.005601976989419199,0.2
-8.83630608,126976,150.0,253,62,501,0.0003,0.6295266151428223,610,-6.704970932006836,-0.01583066688326653,0.8998584747314453,-0.0021421508863568306,0.275244140625,0.025397917,0.006377367839741055,0.2
-8.63791479,129024,150.0,257,63,501,0.0003,0.621306300163269,620,-6.615308150649071,-0.009136569224938284,0.8190668374300003,0.03631726652383804,0.2541015625,0.021867104,0.006203864423150662,0.2
-8.497014349999999,131072,150.0,261,64,501,0.0003,0.6093171238899231,630,-6.498829759657383,-0.01272169098665472,0.9143995940685272,-0.03867799788713455,0.27373046875,0.01941,0.00513682222153875,0.2
-8.35495389,133120,150.0,265,65,502,0.0003,0.596223771572113,640,-6.352743366360665,-0.009539426183619071,0.8592783808708191,-0.03014214336872101,0.27578125,0.020244103,0.005329556624928955,0.2
-8.24434091,135168,150.0,269,66,502,0.0003,0.5869830250740051,650,-6.222417901456356,-0.006515862267406192,0.9142788946628571,-0.021513449028134346,0.2517578125,0.022131037,0.00457980132123339,0.2
-8.116308339999998,137216,150.0,273,67,502,0.0003,0.5771112442016602,660,-6.109696905314922,-0.006934722147707362,0.9246566295623779,-0.017145661637187004,0.284814453125,0.022859018,0.00494627421212499,0.2
