time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/learning_rate,time/time_elapsed,train/n_updates,rollout/success_rate,train/ent_coef,time/episodes,train/ent_coef_loss
53,69.34369659423828,-150.0,150.0,38400,0.012693433091044426,0.0003,718,38299,0.0,0.0015660616336390376,256,-0.0007327795028686523
53,70.42694854736328,-150.0,150.0,39000,0.14649322628974915,0.0003,730,38899,0.0,0.0015834085643291473,260,15.93667221069336
53,70.87556457519531,-150.0,150.0,39600,0.013564493507146835,0.0003,741,39499,0.0,0.0016004774952307343,264,2.3039181232452393
53,71.76322174072266,-150.0,150.0,40200,0.010343426838517189,0.0003,753,40099,0.0,0.0016953200101852417,268,3.3263707160949707
53,72.34967041015625,-150.0,150.0,40800,0.010995874181389809,0.0003,765,40699,0.0,0.0017627404304221272,272,-1.7792882919311523
53,73.26339721679688,-150.0,150.0,41400,0.013358104974031448,0.0003,777,41299,0.0,0.0017071766778826714,276,-1.4630730152130127
53,73.77278900146484,-150.0,150.0,42000,0.009752047248184681,0.0003,789,41899,0.0,0.0016135171754285693,280,0.394148051738739
53,74.3375244140625,-150.0,150.0,42600,0.022247884422540665,0.0003,801,42499,0.0,0.0015379858668893576,284,-1.4516152143478394
53,75.16019439697266,-150.0,150.0,43200,0.007410732097923756,0.0003,813,43099,0.0,0.0014581326395273209,288,-2.2570605278015137
53,75.65282440185547,-150.0,150.0,43800,0.011725995689630508,0.0003,825,43699,0.0,0.0014481996186077595,292,-1.9955440759658813
53,76.37318420410156,-150.0,150.0,44400,0.011707311496138573,0.0003,837,44299,0.0,0.0014262560289353132,296,-2.7765066623687744
52,76.92035675048828,-150.0,150.0,45000,0.012659748084843159,0.0003,849,44899,0.0,0.0013713770313188434,300,0.024523288011550903
52,77.47366333007812,-150.0,150.0,45600,0.010708542540669441,0.0003,860,45499,0.0,0.0013816116843372583,304,-1.0650112628936768
52,78.09229278564453,-150.0,150.0,46200,0.008275240659713745,0.0003,872,46099,0.0,0.0013053333386778831,308,2.9277522563934326
52,78.6643295288086,-150.0,150.0,46800,0.01018599420785904,0.0003,884,46699,0.0,0.0013493131846189499,312,1.2525626420974731
52,79.20268249511719,-150.0,150.0,47400,0.012160630896687508,0.0003,896,47299,0.0,0.0012952331453561783,316,-1.7743369340896606
52,79.6482162475586,-150.0,150.0,48000,0.0120622543618083,0.0003,908,47899,0.0,0.001220319070853293,320,2.9082934856414795
52,80.11077117919922,-150.0,150.0,48600,0.011686911806464195,0.0003,920,48499,0.0,0.0012216995237395167,324,0.5730038285255432
52,80.80107116699219,-150.0,150.0,49200,0.012408455833792686,0.0003,932,49099,0.0,0.001244141487404704,328,-1.5945276021957397
52,81.05321502685547,-150.0,150.0,49800,0.016731644049286842,0.0003,944,49699,0.0,0.0012846646131947637,332,1.768466830253601
52,81.68000793457031,-150.0,150.0,50400,0.01530298963189125,0.0003,956,50299,0.0,0.0012652804143726826,336,-2.7831454277038574
52,82.1207046508789,-150.0,150.0,51000,0.009572815150022507,0.0003,968,50899,0.0,0.0012450499925762415,340,-4.905087947845459
52,82.49771881103516,-150.0,150.0,51600,0.01439804956316948,0.0003,979,51499,0.0,0.001186053385026753,344,-2.6086933612823486
52,83.07386016845703,-150.0,150.0,52200,0.009807076305150986,0.0003,991,52099,0.0,0.0011903072008863091,348,-2.026792287826538
52,83.43621826171875,-150.0,150.0,52800,0.015569675713777542,0.0003,1004,52699,0.0,0.0012191098649054766,352,-3.396341323852539
52,83.78361511230469,-150.0,150.0,53400,0.017501376569271088,0.0003,1015,53299,0.0,0.0011526498710736632,356,-4.281556606292725
52,84.31756591796875,-150.0,150.0,54000,0.010316438972949982,0.0003,1027,53899,0.0,0.0010884865187108517,360,-1.2642089128494263
52,84.58484649658203,-150.0,150.0,54600,0.009185251779854298,0.0003,1039,54499,0.0,0.0011231207754462957,364,-0.9421221613883972
52,85.11003875732422,-150.0,150.0,55200,0.01110526081174612,0.0003,1051,55099,0.0,0.0010907914256677032,368,0.6466573476791382
52,85.33267211914062,-150.0,150.0,55800,0.011551279574632645,0.0003,1063,55699,0.0,0.0011083778226748109,372,-0.10921972990036011
52,85.71358489990234,-150.0,150.0,56400,0.009462235495448112,0.0003,1075,56299,0.0,0.0010954021709039807,376,-2.184582471847534
52,86.0270767211914,-150.0,150.0,57000,0.012864957563579082,0.0003,1088,56899,0.0,0.001059544156305492,380,0.08877307176589966
52,86.56393432617188,-150.0,150.0,57600,0.013505803421139717,0.0003,1099,57499,0.0,0.0010427390225231647,384,-2.8296258449554443
