time/fps,train/ent_coef_loss,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/success_rate,train/critic_loss,train/ent_coef,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/actor_loss,train/n_updates
55,9.403593063354492,-35.87707957000001,130,2812,0.01,0.11904778331518173,0.014001825824379921,407300,0.0003,50.0,13.033868789672852,407199
55,10.657774925231934,-36.098056050000004,134,2816,0.01,0.15873968601226807,0.014428633265197277,407500,0.0003,50.0,13.805051803588867,407399
55,5.601296901702881,-36.9390406,137,2820,0.01,0.07439543306827545,0.01486112829297781,407700,0.0003,50.0,12.659361839294434,407599
55,4.051715850830078,-37.95150755,141,2824,0.01,0.09747042506933212,0.015285611152648926,407900,0.0003,50.0,12.590452194213867,407799
55,5.587535381317139,-37.16456325,145,2828,0.02,0.11807256191968918,0.015731044113636017,408100,0.0003,50.0,12.747355461120605,407999
55,3.1081459522247314,-37.183537079999994,148,2832,0.02,0.1019035279750824,0.016131248325109482,408300,0.0003,50.0,13.668662071228027,408199
55,4.335963726043701,-38.06802353999999,152,2836,0.02,0.10517476499080658,0.01655646041035652,408500,0.0003,50.0,12.782557487487793,408399
55,2.313920497894287,-38.92697224,155,2840,0.02,0.09445474296808243,0.016907604411244392,408700,0.0003,50.0,13.04000473022461,408599
55,1.25356125831604,-39.41101742,159,2844,0.02,0.08637699484825134,0.017245441675186157,408900,0.0003,50.0,13.447775840759277,408799
55,2.673011302947998,-39.406350970000005,163,2848,0.02,0.08784852921962738,0.01750468648970127,409100,0.0003,50.0,12.881866455078125,408999
55,2.9848392009735107,-38.20464110000001,166,2852,0.02,0.07999396324157715,0.017721043899655342,409300,0.0003,50.0,14.00240707397461,409199
55,2.723226547241211,-36.64659635,170,2856,0.02,0.06626918911933899,0.017894549295306206,409500,0.0003,50.0,14.101666450500488,409399
55,1.6171482801437378,-37.426816450000004,174,2860,0.02,0.18999305367469788,0.01805300824344158,409700,0.0003,50.0,13.68267822265625,409599
55,-2.5229387283325195,-36.42798721,177,2864,0.02,0.07665818929672241,0.01819113828241825,409900,0.0003,50.0,13.547113418579102,409799
55,3.06431245803833,-37.14749216,181,2868,0.02,0.1715373992919922,0.01838882826268673,410100,0.0003,50.0,14.335851669311523,409999
55,-1.5524489879608154,-37.32979181,185,2872,0.02,0.0941556841135025,0.018529461696743965,410300,0.0003,50.0,13.422073364257812,410199
55,-2.4752392768859863,-37.055088409999996,189,2876,0.02,0.11723536252975464,0.018638422712683678,410500,0.0003,50.0,13.343785285949707,410399
55,0.9224273562431335,-37.30360612,193,2880,0.02,0.10843165218830109,0.01870984025299549,410700,0.0003,50.0,14.774503707885742,410599
55,-2.542440891265869,-36.83875997999999,197,2884,0.02,0.15228664875030518,0.018907098099589348,410900,0.0003,50.0,13.504262924194336,410799
55,-0.6163374185562134,-38.62956021,201,2888,0.02,0.09730156511068344,0.018961843103170395,411100,0.0003,50.0,14.042535781860352,410999
55,1.1228258609771729,-39.34857386,204,2892,0.02,0.11913652718067169,0.019143925979733467,411300,0.0003,50.0,14.893697738647461,411199
55,-1.8301783800125122,-39.62029969,208,2896,0.03,0.08705739676952362,0.01942768320441246,411500,0.0003,50.0,13.594278335571289,411399
55,1.089342713356018,-40.0162178,212,2900,0.03,0.11009399592876434,0.019688772037625313,411700,0.0003,50.0,14.463613510131836,411599
55,4.276993274688721,-40.426896549999995,215,2904,0.03,0.34305715560913086,0.019951939582824707,411900,0.0003,50.0,15.707053184509277,411799
55,1.6973071098327637,-41.75636273,219,2908,0.03,0.11699722707271576,0.020190486684441566,412100,0.0003,50.0,14.53886604309082,411999
54,3.9381303787231445,-42.715585819999994,223,2912,0.04,0.14415524899959564,0.02023797668516636,412300,0.0003,50.0,16.30314826965332,412199
54,2.787716865539551,-42.98647745000001,227,2916,0.05,0.22177627682685852,0.0202641561627388,412500,0.0003,50.0,15.851916313171387,412399
54,0.24315927922725677,-42.82072631000001,231,2920,0.05,0.2153516709804535,0.020308081060647964,412700,0.0003,50.0,14.415325164794922,412599
54,-0.7662553787231445,-42.67784539,234,2924,0.05,0.11047378927469254,0.020541157573461533,412900,0.0003,50.0,14.592436790466309,412799
54,1.8681471347808838,-43.65330944,238,2928,0.04,0.24651485681533813,0.020498434081673622,413100,0.0003,50.0,15.56083869934082,412999
54,-1.5254813432693481,-44.690411319999995,242,2932,0.04,0.16075289249420166,0.020456217229366302,413300,0.0003,50.0,14.471147537231445,413199
54,0.1885491907596588,-43.645031210000006,245,2936,0.04,0.16745109856128693,0.02052536979317665,413500,0.0003,50.0,16.033321380615234,413399
54,-1.0677276849746704,-42.66186039,249,2940,0.04,0.12378276139497757,0.020600009709596634,413700,0.0003,50.0,15.087240219116211,413599
54,-1.4540200233459473,-42.629648620000005,253,2944,0.04,0.1256902515888214,0.020362507551908493,413900,0.0003,50.0,15.39697265625,413799
54,0.5670597553253174,-41.69337918000001,257,2948,0.04,0.17769768834114075,0.020286468788981438,414100,0.0003,50.0,15.406951904296875,413999
54,-2.13494873046875,-42.41238612,260,2952,0.05,0.1566157341003418,0.02025792934000492,414300,0.0003,50.0,14.881423950195312,414199
54,-1.1763302087783813,-42.14627334,264,2956,0.05,0.1383494734764099,0.020073341205716133,414500,0.0003,50.0,15.22586727142334,414399
54,2.497128486633301,-41.78605641000001,268,2960,0.05,0.1760709285736084,0.019891934469342232,414700,0.0003,50.0,16.351871490478516,414599
54,-1.9881312847137451,-42.174300820000006,272,2964,0.05,0.20168918371200562,0.019849609583616257,414900,0.0003,50.0,14.946944236755371,414799
54,-0.5412260293960571,-40.90161135000001,276,2968,0.05,0.1050034761428833,0.01995965652167797,415100,0.0003,50.0,14.857595443725586,414999
54,1.4889240264892578,-41.18853594,279,2972,0.05,0.275909423828125,0.019745616242289543,415300,0.0003,50.0,16.246173858642578,415199
54,0.5665506720542908,-41.43333521,283,2976,0.04,0.1949288249015808,0.01969427429139614,415500,0.0003,50.0,14.998780250549316,415399
54,-0.9617795348167419,-40.331809330000006,287,2980,0.05,0.10992424190044403,0.019932350143790245,415700,0.0003,50.0,14.913034439086914,415599
54,1.1388691663742065,-39.57406735,291,2984,0.05,0.1117633506655693,0.019577927887439728,415900,0.0003,50.0,15.5919189453125,415799
54,0.2696017026901245,-38.562727280000004,294,2988,0.05,0.1898074448108673,0.019313588738441467,416100,0.0003,50.0,14.89268684387207,415999
54,-0.08984792977571487,-36.805658890000004,298,2992,0.05,0.15019060671329498,0.019129887223243713,416300,0.0003,50.0,16.62560272216797,416199
54,1.3522859811782837,-36.667833429999995,302,2996,0.04,0.13592542707920074,0.018856346607208252,416500,0.0003,50.0,15.438855171203613,416399
54,0.12426966428756714,-36.36093226999999,306,3000,0.04,0.12734854221343994,0.01858706958591938,416700,0.0003,50.0,15.690032958984375,416599
54,-4.869870662689209,-36.95930196,309,3004,0.04,0.139011412858963,0.018480082973837852,416900,0.0003,50.0,14.22414779663086,416799
54,-2.862685441970825,-36.51908457,313,3008,0.04,0.18922275304794312,0.018369534984230995,417100,0.0003,50.0,14.34896469116211,416999
54,0.5654227137565613,-36.832968429999994,317,3012,0.03,0.12683722376823425,0.018260542303323746,417300,0.0003,50.0,15.960681915283203,417199
54,-2.197136640548706,-35.65923085,321,3016,0.02,0.17040422558784485,0.0184622872620821,417500,0.0003,50.0,14.650771141052246,417399
54,-0.646205723285675,-35.66296141,324,3020,0.02,0.13770073652267456,0.018540535122156143,417700,0.0003,50.0,15.493365287780762,417599
54,0.06602400541305542,-35.076023,328,3024,0.02,0.12861475348472595,0.0185762420296669,417900,0.0003,50.0,15.713061332702637,417799
54,0.12330487370491028,-35.40694177,332,3028,0.02,0.16636869311332703,0.01845928095281124,418100,0.0003,50.0,15.438080787658691,417999
54,4.515498161315918,-34.8342754,336,3032,0.02,0.18840208649635315,0.018417751416563988,418300,0.0003,50.0,17.308866500854492,418199
54,-0.19242697954177856,-35.196312119999995,340,3036,0.02,0.16870257258415222,0.01853329688310623,418500,0.0003,50.0,16.71293830871582,418399
54,-2.0760488510131836,-35.36278347,344,3040,0.02,0.14079630374908447,0.018519289791584015,418700,0.0003,50.0,15.17722225189209,418599
54,-1.5686403512954712,-35.603000529999996,347,3044,0.02,0.23713484406471252,0.01838017627596855,418900,0.0003,50.0,15.747781753540039,418799
54,0.7904497385025024,-35.515464900000005,351,3048,0.02,0.21208491921424866,0.018265150487422943,419100,0.0003,50.0,16.82682991027832,418999
54,2.8199210166931152,-35.44008263999999,355,3052,0.01,0.1791641116142273,0.01815248467028141,419300,0.0003,50.0,16.796367645263672,419199
54,1.599125623703003,-36.25489217,358,3056,0.01,0.1596887856721878,0.018157843500375748,419500,0.0003,50.0,17.381881713867188,419399
54,-0.7366899251937866,-35.686755510000005,362,3060,0.01,0.14967423677444458,0.01811002567410469,419700,0.0003,50.0,16.117080688476562,419599
54,-5.184493064880371,-35.435849739999995,366,3064,0.01,0.11444410681724548,0.018485751003026962,419900,0.0003,50.0,14.117298126220703,419799
54,1.018121361732483,-36.99533461,369,3068,0.01,0.19460152089595795,0.01844657212495804,420100,0.0003,50.0,16.817401885986328,419999
54,-0.4821854829788208,-37.21199104,373,3072,0.01,0.2993851900100708,0.01851256750524044,420300,0.0003,50.0,16.97837257385254,420199
54,0.7877019643783569,-37.16057516,377,3076,0.01,0.2716800272464752,0.018629252910614014,420500,0.0003,50.0,17.145767211914062,420399
54,1.3830163478851318,-37.53046171,380,3080,0.0,0.1833260953426361,0.018534652888774872,420700,0.0003,50.0,17.41767120361328,420599
54,0.6131769418716431,-37.86942113999999,384,3084,0.0,0.14403235912322998,0.018479660153388977,420900,0.0003,50.0,16.842859268188477,420799
54,1.082614779472351,-37.29387771,387,3088,0.0,0.23698662221431732,0.018279647454619408,421100,0.0003,50.0,17.88599967956543,420999
54,-1.5273044109344482,-37.624966220000005,391,3092,0.0,0.15567904710769653,0.01798381842672825,421300,0.0003,50.0,16.056167602539062,421199
54,-0.09452390670776367,-37.11254436,395,3096,0.0,0.15938377380371094,0.017846615985035896,421500,0.0003,50.0,15.9064302444458,421399
54,-0.40758371353149414,-37.82737787,398,3100,0.0,0.16027706861495972,0.017864802852272987,421700,0.0003,50.0,16.23686981201172,421599
54,-2.5546998977661133,-38.11546091,402,3104,0.0,0.21288473904132843,0.017777802422642708,421900,0.0003,50.0,15.463973999023438,421799
54,-1.623685598373413,-37.81364214999999,406,3108,0.01,0.1871936321258545,0.017834093421697617,422100,0.0003,50.0,16.00644302368164,421999
54,3.765979766845703,-38.8723988,409,3112,0.01,1.29228937625885,0.017746413126587868,422300,0.0003,50.0,17.5025634765625,422199
54,1.901214599609375,-40.32727798,413,3116,0.01,0.25282996892929077,0.017964689061045647,422500,0.0003,50.0,17.673065185546875,422399
54,4.442469120025635,-40.59044586,417,3120,0.01,0.2103424221277237,0.01818181574344635,422700,0.0003,50.0,17.88556671142578,422599
54,2.36747670173645,-40.05641866,420,3124,0.01,0.41939577460289,0.018335439264774323,422900,0.0003,50.0,19.230260848999023,422799
