time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/clip_fraction,train/explained_variance,train/loss,train/policy_gradient_loss,train/std
136,663552,449,150.0,-94.97014354000002,30,0.0003,0.03948909528553486,25.98569744452834,0.2,3230,0.6065288,0.611181640625,0.9679095484316349,4.743332862854004,0.016206213408440816,0.24183140695095062
141,665600,449,150.0,-94.82873546000002,31,0.0003,0.04139312542974949,29.378429730981587,0.2,3240,0.18726532,0.569482421875,0.8702210634946823,5.396930694580078,0.02275837264751317,0.24157842993736267
145,667648,449,150.0,-93.55801881000001,32,0.0003,0.03586117066442966,58.43246270567179,0.2,3250,0.06689215,0.359228515625,0.9413037933409214,10.997530937194824,-0.003849909505515825,0.24228718876838684
150,669696,450,150.0,-93.93231181000002,33,0.0003,0.02300339788198471,44.21503579765558,0.2,3260,0.09201197,0.4435546875,0.9438373818993568,5.119208335876465,0.012396465299389092,0.242961123585701
154,671744,451,150.0,-83.66711487999999,34,0.0003,0.023195935040712358,16.84479437097907,0.2,3270,0.47725007,0.569775390625,0.9469289369881153,1.9848064184188843,0.03553308174596168,0.2421427220106125
158,673792,450,150.0,-95.09920967000002,35,0.0003,0.018977009505033494,24.71636125482619,0.2,3280,0.4046414,0.60244140625,0.9523075930774212,11.067940711975098,0.02388386173552135,0.24276569485664368
163,675840,450,150.0,-86.01673139,36,0.0003,0.01908697709441185,52.304494908452035,0.2,3290,0.087733574,0.409326171875,0.9572598151862621,20.302549362182617,-0.006272473440913018,0.2420952171087265
168,677888,449,150.0,-91.77343348999999,37,0.0003,0.021992192417383195,26.035040069743992,0.2,3300,0.55496854,0.569091796875,0.9624507464468479,3.330848455429077,0.036823917155561506,0.24263742566108704
172,679936,450,150.0,-91.75239614999998,38,0.0003,0.01862466298043728,36.004911340028045,0.2,3310,0.88867474,0.50517578125,0.9346973225474358,5.1201558113098145,0.00985656543634832,0.24228593707084656
177,681984,449,150.0,-95.4644845,39,0.0003,0.035438768565654755,61.19369559586048,0.2,3320,0.07049212,0.357470703125,0.9330684468150139,13.03197193145752,-0.00041005414677783845,0.2421931028366089
182,684032,449,150.0,-100.12210368999999,40,0.0003,0.03127075731754303,30.801248345524073,0.2,3330,0.106143415,0.452978515625,0.9631400071084499,6.126776695251465,0.017570662280195392,0.24216878414154053
186,686080,450,150.0,-100.73306467,41,0.0003,0.028877551853656768,71.82477196455002,0.2,3340,0.053129125,0.385888671875,0.9239034578204155,10.35029411315918,-0.00712526193310623,0.24183514714241028
191,688128,449,150.0,-106.11831032999997,42,0.0003,0.03533365838229656,45.95907219573856,0.2,3350,0.42103183,0.447509765625,0.9487598650157452,1.8822163343429565,0.01240301814104896,0.24160261452198029
195,690176,450,150.0,-102.06271251999999,43,0.0003,0.030527622997760774,73.36010799705983,0.2,3360,0.07400729,0.424462890625,0.9626490063965321,15.25866413116455,-0.008238534694828558,0.2420378029346466
200,692224,449,150.0,-100.95381943000001,44,0.0003,-0.004851101338863373,15.268803331442177,0.2,3370,0.72924554,0.6302734375,0.9738762658089399,2.0990383625030518,0.02864900409404072,0.2431837022304535
204,694272,450,150.0,-96.78120684,45,0.0003,-0.022296490520238875,84.94153043031693,0.2,3380,0.03590896,0.40859375,0.9199070930480957,26.606948852539062,-0.00012959399755345656,0.24419453740119934
209,696320,450,150.0,-89.67027366999999,46,0.0003,-0.0507670909166336,14.245075569488108,0.2,3390,0.40887287,0.54287109375,0.9471344277262688,0.2465876340866089,0.025885380498948507,0.24531520903110504
213,698368,449,150.0,-97.39659730000001,47,0.0003,-0.08104641437530517,15.289634092152118,0.2,3400,0.39312983,0.622412109375,0.9773625526577234,4.406793117523193,0.01195040047095972,0.2454940229654312
