time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/entropy_loss,train/std,train/clip_range,train/explained_variance
134,462848,30,150.0,456,-68.26829027,0.007363676810928155,2250,80.03283888697624,0.05607835,0.459326171875,10.19567584991455,0.0003,0.9783429767936468,0.2121039479970932,0.2,0.8177628368139267
138,464896,31,150.0,457,-70.82479073,0.004153653349203523,2260,52.84374960660934,0.10688493,0.5267578125,9.3995361328125,0.0003,0.9733594285324216,0.21133528649806976,0.2,0.8701214492321014
143,466944,32,150.0,457,-82.64735184999999,-0.0020328683691332116,2270,159.5870223045349,0.049185164,0.328173828125,35.44918441772461,0.0003,0.9926015835255384,0.2113461047410965,0.2,0.8900609761476517
147,468992,33,150.0,458,-84.02474593,-0.003952626950922422,2280,107.6144569247961,0.062747896,0.398583984375,37.08867645263672,0.0003,0.9851128421723843,0.2119332253932953,0.2,0.9149399027228355
151,471040,34,150.0,458,-84.42986022999999,0.013310927886050195,2290,66.91278156340123,0.082,0.452783203125,24.070287704467773,0.0003,0.9740345573052764,0.2117304801940918,0.2,0.947181724011898
156,473088,35,150.0,457,-87.32293890999999,0.031189714460197138,2300,29.138121976703406,0.32299078,0.648974609375,9.61423110961914,0.0003,0.9721119521185756,0.21229760348796844,0.2,0.9384733662009239
160,475136,36,150.0,458,-89.15071615999999,0.030106893660558853,2310,23.875571805238724,1.5281903,0.603515625,1.8801074028015137,0.0003,0.9445553896948695,0.2129516452550888,0.2,0.9670525565743446
165,477184,37,150.0,457,-94.93441122999997,0.0023225473385537045,2320,71.08015169352294,0.2359314,0.507568359375,14.155638694763184,0.0003,0.9348936751484871,0.2131175994873047,0.2,0.9441263750195503
170,479232,38,150.0,456,-91.74679739000001,0.011814153612067457,2330,48.82489577829838,0.09093503,0.453759765625,11.949607849121094,0.0003,0.9218648878857494,0.2140118032693863,0.2,0.9386720582842827
174,481280,39,150.0,457,-80.36264246,0.015649855039373505,2340,21.8609452676028,0.43741623,0.539501953125,20.731908798217773,0.0003,0.9194577645510436,0.21286439895629883,0.2,0.9567369259893894
178,483328,40,150.0,457,-77.75490187,0.007367942282144213,2350,80.80138800293207,0.15854725,0.543994140625,15.32113265991211,0.0003,0.9550700785592199,0.21275843679904938,0.2,0.8992883190512657
183,485376,41,150.0,458,-83.11164236999998,0.018546695428085513,2360,57.876582039892675,0.19023722,0.4765625,4.932994365692139,0.0003,0.9381879238411784,0.2134712189435959,0.2,0.8523159623146057
187,487424,42,150.0,458,-80.70963656999999,0.007202308219711994,2370,60.609893628954886,0.372628,0.574609375,8.318083763122559,0.0003,0.9248680958524347,0.21319030225276947,0.2,0.932337686419487
191,489472,43,150.0,459,-79.54223843999999,0.02982581044343533,2380,22.19790105521679,0.2288332,0.67431640625,5.315340995788574,0.0003,0.924031506292522,0.2137233167886734,0.2,0.9155521616339684
196,491520,44,150.0,458,-73.33293161000002,0.0006589269789401442,2390,26.961833973973988,0.4105324,0.512890625,3.3513095378875732,0.0003,0.9025498047471047,0.2143852263689041,0.2,0.939667034894228
200,493568,45,150.0,458,-76.76684296999998,0.025584371655713766,2400,57.75056417956948,0.6337824,0.5134765625,4.023168563842773,0.0003,0.8852751396596432,0.21488796174526215,0.2,0.9179902598261833
205,495616,46,150.0,458,-83.70699808999998,0.010447440370626282,2410,55.16080103516579,0.20012417,0.46123046875,11.08977222442627,0.0003,0.8740023918449878,0.21522149443626404,0.2,0.9373139142990112
209,497664,47,150.0,458,-87.08260445000002,0.021171409903035964,2420,49.260473895072934,0.15633374,0.5130859375,16.187095642089844,0.0003,0.8638089166954159,0.21526166796684265,0.2,0.9565508849918842
214,499712,48,150.0,457,-90.68825155,0.013997292554267914,2430,63.03334690034389,0.116841584,0.51181640625,5.337712287902832,0.0003,0.8424718530848623,0.2164877951145172,0.2,0.9573968388140202
219,501760,49,150.0,457,-88.32003576000001,0.020770527814602247,2440,76.00662996917963,0.12280079,0.464794921875,40.92544174194336,0.0003,0.8337082907557487,0.21535484492778778,0.2,0.9376289546489716
223,503808,50,150.0,457,-92.49733669,0.004708185461640824,2450,82.16789009273052,0.06643605,0.448974609375,16.441251754760742,0.0003,0.8599777057766914,0.2150556743144989,0.2,0.890914224088192
228,505856,51,150.0,457,-98.06691640999998,-0.009741446054249536,2460,57.73695912361145,0.07901867,0.384326171875,5.0982666015625,0.0003,0.8613394863903523,0.21539869904518127,0.2,0.9390198551118374
233,507904,52,150.0,456,-99.20612287999998,0.0020678741886513306,2470,90.47014869451523,0.06198772,0.3927734375,29.466766357421875,0.0003,0.8523641748353838,0.21549010276794434,0.2,0.9240141436457634
237,509952,53,150.0,456,-103.32838799999999,0.024174937585485168,2480,42.31721629500389,0.1835069,0.526171875,7.732138156890869,0.0003,0.8482859587296844,0.21554343402385712,0.2,0.9664883725345135
242,512000,54,150.0,456,-100.02814103999998,0.011365802586078643,2490,60.21057414412498,0.10926978,0.509716796875,13.710372924804688,0.0003,0.836058858036995,0.21598504483699799,0.2,0.9445654787123203
246,514048,55,150.0,456,-95.97902612000001,0.01719582697696751,2500,65.19571930468082,0.11465639,0.493994140625,17.751001358032227,0.0003,0.8333713265135885,0.21595486998558044,0.2,0.9449762254953384
251,516096,56,150.0,456,-102.57509962999998,0.01607775983429747,2510,74.96992159783841,1.7538929,0.5009765625,21.718568801879883,0.0003,0.8224102539941669,0.2165062129497528,0.2,0.9321941509842873
255,518144,57,150.0,456,-101.14844375000001,-0.00102825405956537,2520,80.73777086734772,0.118742086,0.47060546875,29.86902618408203,0.0003,0.8247656183317303,0.21593865752220154,0.2,0.9496037662029266
259,520192,58,150.0,456,-88.36336333999999,0.001991740768426098,2530,70.33476239144802,0.110544115,0.514697265625,24.13496971130371,0.0003,0.8422204468399286,0.2156686782836914,0.2,0.9117181897163391
264,522240,59,150.0,457,-86.63949056999999,0.05862599140527891,2540,19.63111543804407,0.37597927,0.686962890625,4.236580848693848,0.0003,0.8576974546536803,0.21459414064884186,0.2,0.8673602342605591
268,524288,60,150.0,457,-88.67851237999999,0.014553034737764392,2550,45.879943783581254,0.29791033,0.4810546875,5.443292617797852,0.0003,0.8754957046359777,0.21426452696323395,0.2,0.9389845505356789
273,526336,61,150.0,457,-82.80492674999999,0.0038682719561620614,2560,32.2896571457386,0.1792127,0.44560546875,7.5778913497924805,0.0003,0.8710189545527101,0.21477110683918,0.2,0.9697691146284342
278,528384,62,150.0,456,-86.09256144,0.017909608283662237,2570,30.182326084375383,0.8858721,0.561767578125,3.6118364334106445,0.0003,0.8443890828639269,0.21593590080738068,0.2,0.9501172490417957
282,530432,63,150.0,456,-80.74430026999998,0.012880675158521626,2580,58.916673828661445,0.099759966,0.4177734375,32.95446014404297,0.0003,0.8013457030057907,0.2179625779390335,0.2,0.9254386201500893
287,532480,64,150.0,456,-88.52239319,0.021085276580561186,2590,61.654383724927904,0.19700831,0.531689453125,32.26258850097656,0.0003,0.750544561445713,0.21864204108715057,0.2,0.9373436197638512
291,534528,65,150.0,456,-91.60379184,0.0010346118520828894,2600,79.05932452082634,0.062701315,0.401953125,15.512454986572266,0.0003,0.752137059532106,0.21821454167366028,0.2,0.9279891178011894
295,536576,66,150.0,456,-89.95250686,-0.005790371112743742,2610,82.9038330078125,0.14440991,0.458056640625,24.795318603515625,0.0003,0.7699878009036183,0.21736817061901093,0.2,0.8980737179517746
300,538624,67,150.0,456,-95.49086532999999,0.06222498508286663,2620,17.750180977582932,0.9117146,0.760791015625,4.663262844085693,0.0003,0.7419917397201061,0.22000564634799957,0.2,0.9544708579778671
305,540672,68,150.0,456,-97.35967999,-0.013794027475523763,2630,85.09294453859329,0.047772795,0.38330078125,13.032853126525879,0.0003,0.7057336395606398,0.2196558564901352,0.2,0.9356785714626312
309,542720,69,150.0,456,-103.87391955,0.007924295660632196,2640,31.935953383147716,0.12621231,0.497119140625,3.5572595596313477,0.0003,0.7130069067701698,0.21975694596767426,0.2,0.9510270543396473
313,544768,70,150.0,456,-97.66238594000001,-0.001935001285164617,2650,84.42712088823319,0.091264606,0.456103515625,21.139530181884766,0.0003,0.6996790701523423,0.22041819989681244,0.2,0.9065117314457893
318,546816,71,150.0,456,-101.06977293000001,0.022102113044820727,2660,16.799542865529656,0.39414102,0.62490234375,3.8836536407470703,0.0003,0.6490353418514132,0.2225111424922943,0.2,0.9704729039222002
323,548864,72,150.0,455,-105.07759693,0.0012477452713937965,2670,49.08521695137024,0.25144163,0.46162109375,13.662230491638184,0.0003,0.609791417978704,0.2229466289281845,0.2,0.9462038762867451
328,550912,73,150.0,455,-112.68968295999997,0.011507555955904535,2680,64.2395644545555,0.5594326,0.49443359375,18.628454208374023,0.0003,0.5960810892283916,0.22353854775428772,0.2,0.9324609562754631
332,552960,74,150.0,455,-115.10183384,0.015893298138689716,2690,35.93560042902827,0.48642266,0.490185546875,5.0872721672058105,0.0003,0.5960843022912741,0.22286812961101532,0.2,0.9679666683077812
337,555008,75,150.0,454,-115.15377545000001,-0.0076184929726878185,2700,79.14433633983136,0.08584629,0.418310546875,38.529632568359375,0.0003,0.597942691668868,0.22335626184940338,0.2,0.9465672485530376
342,557056,76,150.0,454,-119.90216616,0.01796531093714293,2710,39.97231682538986,0.2529741,0.511865234375,14.761978149414062,0.0003,0.5780777359381318,0.22419966757297516,0.2,0.9645415805280209
346,559104,77,150.0,454,-129.55021764,-0.01317175855365349,2720,114.2234470486641,0.03413402,0.35048828125,40.72845458984375,0.0003,0.5543828126043081,0.22460784018039703,0.2,0.9313651993870735
351,561152,78,150.0,454,-122.70583836,0.0021464842575369403,2730,50.03456909358501,0.37362865,0.46904296875,9.321459770202637,0.0003,0.5224625231698156,0.2260715216398239,0.2,0.9624002352356911
355,563200,79,150.0,454,-125.64528361999999,-0.004782346235879231,2740,75.47168895304203,0.04514804,0.4353515625,23.440309524536133,0.0003,0.5119030509144068,0.22541645169258118,0.2,0.9124540165066719
360,565248,80,150.0,454,-122.54693552999998,0.007884383729106048,2750,48.594088181853294,0.17614222,0.454345703125,12.65367603302002,0.0003,0.5170194711536169,0.22557854652404785,0.2,0.9335083961486816
364,567296,81,150.0,455,-113.82997053999999,-0.0007274821320606862,2760,81.98247379213572,0.08004089,0.396142578125,32.61061096191406,0.0003,0.5267456186935305,0.2249019593000412,0.2,0.9250359684228897
369,569344,82,150.0,455,-104.92069917999999,0.02815073395613581,2770,20.85494918823242,0.44516793,0.606689453125,4.3003387451171875,0.0003,0.5289913481101394,0.2256411463022232,0.2,0.9636526927351952
373,571392,83,150.0,455,-98.85012737999999,0.018761773381265813,2780,28.30698453336954,0.16399062,0.52861328125,2.8110294342041016,0.0003,0.5260561145842075,0.22533655166625977,0.2,0.9475585073232651
378,573440,84,150.0,455,-91.27274337,0.048025367549416845,2790,30.717698177695276,0.64976895,0.568017578125,4.379981994628906,0.0003,0.5169130463153124,0.22570551931858063,0.2,0.9379385374486446
382,575488,85,150.0,455,-94.16939216,0.018270797937293536,2800,41.915047043561934,0.411201,0.500830078125,6.537172317504883,0.0003,0.5032842254266143,0.2264871597290039,0.2,0.9507274068892002
